sample_idx,tweet_pos,tweet_id,text,n_total_votes,n_dontknow_votes,n_valid_votes,top_vote_count_no_dontknow,top_labels_no_dontknow,strict_majority_label_no_dontknow,unique_highest_frequency_label_no_dontknow,chatgpt_label,matches_majority_no_dontknow,matches_unique_highest_frequency_no_dontknow,label_counts_no_dontknow_json
18,11,1475179009910747136,"Pročitao 20-ak priča #NisamPrijavila i došao do jednostavnog zaključka živimo u društvu jebenih manijaka. Komšije i rođaci pedofili, muževi i momci posesivni ludaci, gomila uticajnih i uglađenih muškaraca su zapravo teško dno.",7,0,7,6,gađenje,gađenje,gađenje,bes,false,false,"{""gađenje"": 6, ""iznenađenje"": 1}"
18,12,1475447123437146117,#nisamprijavila jer se u podrumu nalazi ta osoba privezana za stolcu i moli boga svaki dan da ga pustim. Ja kao balerina plešem okolo njega i udarim da magičnim štapićem i kažem “ne danas”!!,7,3,4,3,bes,bes,bes,bes,true,true,"{""Emocionalno neutralno"": 1, ""bes"": 3}"
18,13,1475365621261115394,"Kako ovakve situacije #NisamPrijavila uvek izbace na povrsinu pravi talog i one skivene bolesnike, ogole ih sami se jave kao najveci sljam. Tuga je jos veca jer je mnogo zena medju njima",7,0,7,5,gađenje,gađenje,gađenje,tuga,false,false,"{""gađenje"": 5, ""tuga"": 2}"
18,14,1475414698283700225,@[user] Samo se ti zajebavaj posle ce da bude #nisamprijavila a muz ti brani😂😂,7,2,5,3,Emocionalno neutralno,Emocionalno neutralno,Emocionalno neutralno,radost,false,false,"{""Emocionalno neutralno"": 3, ""iščekivanje"": 1, ""tuga"": 1}"
18,15,1475935248328413195,"Razumijem sve razloge onih koje kazu #NisamPrijavila, ali #ProcjenaRizika je upozoravajuca.. 
Zene ubijaju, zar ne ?!",7,2,5,1,Emocionalno neutralno | iznenađenje | iščekivanje | strah | tuga,,,strah,false,false,"{""Emocionalno neutralno"": 1, ""iznenađenje"": 1, ""iščekivanje"": 1, ""strah"": 1, ""tuga"": 1}"
18,16,1475724041386401794,Srecna sam sto nemam licno iskustvo na temu #NisamPrijavila. Ne znam da li me vise plase podeljena iskustva ili komentari manijaka.,7,0,7,4,strah,strah,strah,strah,true,true,"{""iznenađenje"": 2, ""radost"": 1, ""strah"": 4}"
18,17,1476241765032251393,"@[user] Ето зашто #NisamPrijavila !!!
Ужас је блага реч.",7,1,6,4,gađenje,gađenje,gađenje,strah,false,false,"{""bes"": 2, ""gađenje"": 4}"
18,18,1475419654587879424,"Je li se ijedan jedini akter političkog života u CG uključio u dijalog oko #NisamPrijavila, ili se javljaju samo kad im je oportunitetno? Institucije ne moram ni da pominjem.",7,0,7,4,gađenje,gađenje,gađenje,bes,false,false,"{""bes"": 2, ""gađenje"": 4, ""iščekivanje"": 1}"
18,19,1475169479030185985,"Vuline, liberalizuj zakon o oružju kako si najavljivao! 

Kad bude pištolj u ženskoj torbici većina tih ""junaka"" će se zavući pod kamen ispod koga su izmilili... #NisamPrijavila",7,0,7,3,iščekivanje,,iščekivanje,bes,false,false,"{""bes"": 2, ""gađenje"": 1, ""iznenađenje"": 1, ""iščekivanje"": 3}"
18,20,1475496835980668931,"@[user] Izmišljaju priče zarad popularnosti
#nisamprijavila",7,1,6,3,gađenje,,gađenje,bes,false,false,"{""Emocionalno neutralno"": 2, ""gađenje"": 3, ""iznenađenje"": 1}"
18,21,1475144619256164357,"meni i ženama i devojkama iz mog okruženja se desilo minimum 100 puta otkad znam za sebe da nas neko uznemirava, jedina je sreća pa sam uvek spremna da se pobijem do krvi sa idiotima i napravim incident i pustite priču nisu svi isti pravda za muškarce bla bla #NisamPrijavila",7,0,7,6,bes,bes,bes,bes,true,true,"{""bes"": 6, ""gađenje"": 1}"
18,22,1475298523721928704,"Hvala svim predivnim zenama koje su podelile svoju pricu sa nama. Hvala i onim drugim zenama i muskarcima na konstruktivnim savetima. Hvala na razumevanju i spremnosti da nas cujete.
#NisamPrijavila
#nisisama",7,0,7,4,radost,radost,radost,poverenje,false,false,"{""poverenje"": 3, ""radost"": 4}"
18,23,1475090852515127305,"prijavila sam, ali sam poželela da #NisamPrijavila jer me je policajac/detektiv odveo na poligraf sa rečenicom ""znaš, devojčice često lažu o silovanju. žele, pa zažale i ih bude sramota pa kažu da su bile silovane.""",7,0,7,4,gađenje,gađenje,gađenje,strah,false,false,"{""bes"": 2, ""gađenje"": 4, ""strah"": 1}"
18,24,1475067001139781635,"#NisamPrijavila Jer nije bilo modrica. Jer je bio omiljen,uspešan,harizmatican,jer mi niko nije verovao. Jer sam posle godinu i po dana njegovog ponavljanja i sama poverovala da sam glupa,nesposobna,nedovoljna,i da je za mene samo kuhinja. 👇",7,1,6,2,strah | tuga,,,tuga,false,false,"{""Emocionalno neutralno"": 1, ""iznenađenje"": 1, ""strah"": 2, ""tuga"": 2}"
18,25,1475026030830276609,"kad su mi se dešavale te #NisamPrijavila priče, nije mi na pamet padalo da je to kažnjivo, nego sam mislila da to tako funkcioniše, delovalo je da pretpostavljeni ima pravo na takvo ponašanje, a ja mogu da neću, i onda dobijem otkaz a niko me fizički nije ugrozio, sve ok.",7,1,6,3,iznenađenje,,iznenađenje,bes,false,false,"{""bes"": 1, ""gađenje"": 1, ""iznenađenje"": 3, ""tuga"": 1}"
18,26,1475252350164123651,"#NisamPrijavila Jesam, prijavila sam, uzeli su zapisnik i rekli “pozvaćmo ga na informativni razgovor ali od ovoga nema ništa”. Njihov kolega koji je bio svedok rekao je da ništa nije video 🤷🏻‍♀️",7,0,7,3,Emocionalno neutralno,,Emocionalno neutralno,bes,false,false,"{""Emocionalno neutralno"": 3, ""bes"": 2, ""gađenje"": 1, ""iščekivanje"": 1}"
18,27,1475034322356867073,"#NisamPrijavila boli svaka vasa rec napisana. Izvinite za svaki put kad vas nismo razumeli, zastitili, saslusali... Molim vas nastavite da govorite!",7,0,7,5,tuga,tuga,tuga,tuga,true,true,"{""poverenje"": 2, ""tuga"": 5}"
18,28,1476235783677923329,"Док се неки питају зашто баш сада кампања #nisamprijavila у Сомбору је убијена цела једна породица и то од руке ""главе породице"" - насилника који је пре 5 дана изашао из затвора и имао забрану приласка.",7,0,7,4,bes,bes,bes,bes,true,true,"{""Emocionalno neutralno"": 1, ""bes"": 4, ""gađenje"": 2}"
18,29,1475513119833305092,"Tag #NisamPrijavila je možda najvažniji tag koji se pojavio u virtuelnom i realnom prostoru. Činjenica je da pol ne određuje karakter i da su generalizacije bolne. Ali, nešto sa našim muškim svetom debelo nije u redu. Vi, dragi i normalni muškarci, nemojte se osetiti prozvanim.",7,0,7,3,Emocionalno neutralno,,Emocionalno neutralno,bes,false,false,"{""Emocionalno neutralno"": 3, ""bes"": 1, ""gađenje"": 2, ""tuga"": 1}"
18,30,1475359978089287680,"Ko ne moreš verjet, kakšne pošasti se skrivajo okrog nas, si prebereš nekaj zapisov pod #NisamPrijavila in ti je lahko slabo.",7,4,3,2,gađenje,gađenje,gađenje,gađenje,true,true,"{""gađenje"": 2, ""iznenađenje"": 1}"
18,31,1475389741302489088,"#Nisamprijavila ...
Čitam i ne mogu da se ne gadim muškog roda.
Da se razumijemo, đubre sam na mnogo načina, ali zlostavljati ženu ili dijete do traume za života!??
I ne umijem pojmiti drugačiju kaznu do otkidanja glave skotu...",7,0,7,4,gađenje,gađenje,gađenje,gađenje,true,true,"{""bes"": 1, ""gađenje"": 4, ""iznenađenje"": 1, ""poverenje"": 1}"
18,32,1475174419979018246,"Ja nikad neću skupiti hrabrost da detaljno napišem #NisamPrijavila tvit, a svima vama koji jeste, svaka čast.",7,0,7,4,strah,strah,strah,strah,true,true,"{""Emocionalno neutralno"": 1, ""radost"": 1, ""strah"": 4, ""tuga"": 1}"
18,33,1475337793421422592,Nocas je bilo tesko i potresno slusati spejs #NisamPrijavila sve pohvale za hrabrobrost svim zenama i devojkama koje su se ukljucivale i iznosile uzasne potresne traume koje su dozivele. Trebalo bi nastaviti sa pritiskom na celokupnu javnost da se takve stvari vise ne dese nikome,7,0,7,3,poverenje | tuga,,,tuga,false,false,"{""iščekivanje"": 1, ""poverenje"": 3, ""tuga"": 3}"
18,34,1475574104023605248,"#nisamprijavila jer kako posle svega da pogledam svojoj majci u oči i da ih vidim pune suza. Dovoljne su bile jedne, moje.",7,0,7,7,tuga,tuga,tuga,tuga,true,true,"{""tuga"": 7}"
18,35,1475041433925128193,"#NisamPrijavila ni posle treceg puta kada me je gusio sve dok nisam bila na ivici onesvescivanja. Tome su prethodile moje reci da odlazim. 
Niko nije znao. Nikome ne mozete ni da objasnite zasto niste rekli. 
Zato sto je svest pomucena, rasudjivanje zaliveno suzama.",7,0,7,5,tuga,tuga,tuga,strah,false,false,"{""Emocionalno neutralno"": 1, ""strah"": 1, ""tuga"": 5}"
18,36,1475077038268723204,"Pratite tag #NisamPrijavila i podržite žene koje su se osnažile da pišu o svojim iskustvima i prekinu relativizaciju nasilja ❤
Svaka priča je važna 💫",7,0,7,4,poverenje,poverenje,poverenje,poverenje,true,true,"{""Emocionalno neutralno"": 1, ""iščekivanje"": 1, ""poverenje"": 4, ""radost"": 1}"
18,37,1475745779147055104,"#NisamPrijavila Kada kao u Grčkoj ćerke budu dobijale na dar stan od svojih roditelja kada se udaju, onda će i kod nas biti lakše otići i ne morati trpeti.(nadam se da je još uvek tamo takav običaj)",7,0,7,5,iščekivanje,iščekivanje,iščekivanje,iščekivanje,true,true,"{""Emocionalno neutralno"": 1, ""iznenađenje"": 1, ""iščekivanje"": 5}"
18,38,1475895777176260610,"#NisamPrijavila jer sam se plašila, pretili su mi da moram da ćutim. Plašila sam se njih, plašila sam se roditelja da ne saznaju, plašila sam se osude. Zapravo nisam ni znala šta mi se desilo, jer sam imala samo 12... Kako sam rasla, počela sam da shvatam težinu dela",7,0,7,6,strah,strah,strah,strah,true,true,"{""strah"": 6, ""tuga"": 1}"
18,39,1475083385664061446,"Го читам хаштагов #nisamprijavila и единствено што знам е дека мора на децата да им влееме доволно доверба и да им пружиме доволно љубов и поддршка да знаат дека секогаш ама СЕКОГАШ ќе имаат некој кој ќе ги сослуша и ќе ги заштити, без разлика дали имале 15, 25 или 35 години.",7,4,3,2,Emocionalno neutralno,Emocionalno neutralno,Emocionalno neutralno,poverenje,false,false,"{""Emocionalno neutralno"": 2, ""poverenje"": 1}"
18,40,1475270273855373316,"Ja ceo dan čitam tvitove sa #nisamprijavila i uopste se ne pronalazim dok ne shvatih da sam potisnula u mali mozak da su šamar i vučenje za kosu na sred trga u gradu (naočigled svih ljudi iz obližnjeg fast food-a) nasilje.
Nazivajte stvari pravim imenima.
Hvala za hešteg.",7,0,7,3,iznenađenje,,iznenađenje,iznenađenje,false,true,"{""Emocionalno neutralno"": 2, ""iznenađenje"": 3, ""poverenje"": 1, ""tuga"": 1}"
18,41,1475434928833765377,"#NisamPrijavila jer sam imala 5 godina i jer sam mislila da sam ja kriva što sam pristala da skinem odeću i sednem starijem dečku u krilo, jer me je nagovorio, a šta sam znala sa 5 godina. Sem to da sam istraumirana godinama posle od tog događaja.",7,0,7,3,tuga,,tuga,tuga,false,true,"{""gađenje"": 2, ""strah"": 2, ""tuga"": 3}"
18,42,1475041872175378435,#Nisamprijavila Prijavljujte sve! Svaki dan ih prijavljujte!,7,0,7,4,Emocionalno neutralno,Emocionalno neutralno,Emocionalno neutralno,bes,false,false,"{""Emocionalno neutralno"": 4, ""bes"": 1, ""poverenje"": 2}"
18,43,1475519523226898433,"@[user] Tragedija, tisuće teških priznanja i skupljenih hrabrosti objavljivanja svoje intime na #nisamprijavila. I onda ekipa dodje i kmeči bezbrojnim postovima na sav glas o tragediji generalizacije prema muškom rodu, i to zbog par priglupih komentara u moru objava.
#attentionwhores",7,0,7,5,bes,bes,bes,bes,true,true,"{""bes"": 5, ""gađenje"": 2}"
18,44,1480306212893863940,#NisamPrijavila momenat me je toliko potresao da sam počela da sanjam neke svoje verzije inspirisane svim tim priznanjima žena.,7,0,7,6,tuga,tuga,tuga,tuga,true,true,"{""strah"": 1, ""tuga"": 6}"
18,45,1475516461011644420,#NisamPrijavila jer državne/javne institucije ne daju sigurnost ženama i zato što te iste osobe gledaju žene kao da su zaslužile to što si im se desilo i teraju te da proživljavaš traumu iznova i iznova. Žena je uvek kriva što je nasilje izvršeno nad njom. I javno te obeleže.,7,0,7,4,bes,bes,bes,bes,true,true,"{""Emocionalno neutralno"": 1, ""bes"": 4, ""strah"": 2}"
18,46,1475611319353098244,препричана искуства из #NisamPrijavila су само показатељ колико нам је друштво на јако лошем месту. Подршка свакој жени❤️,7,0,7,3,tuga,,tuga,tuga,false,true,"{""Emocionalno neutralno"": 2, ""poverenje"": 2, ""tuga"": 3}"
18,47,1475069954739347458,#Nisamtrazila #Nisamprijavila full suport!,7,0,7,4,poverenje,poverenje,poverenje,bes,false,false,"{""Emocionalno neutralno"": 2, ""poverenje"": 4, ""radost"": 1}"
18,48,1475337988439781384,"#NisamPrijavila jer sam imala 5 godina, jer nisam rekla nikom i nisam znala sta mi je ciniti i jer me je bilo sramota i jer mi je 19 godina trebalo da progovorim o tome sa vrlo bliskim krugom ljudi. I jer je sada verovatno kasno za #PrijavilaSam Eto...",7,1,6,2,strah,,strah,tuga,false,false,"{""Emocionalno neutralno"": 1, ""bes"": 1, ""gađenje"": 1, ""strah"": 2, ""tuga"": 1}"
18,49,1475108760137969668,"#NisamPrijavila jer od šoka organizam stvori različite mehanizme odbrane. Derealizaciju, paralisanost od stresa, poricanje, pa čak i gubitak sećanja o događaju. Godine su nekad potrebne da mozak rekonstruiše sve i da dođeš do tog mirnog stanja da kažeš: desilo se.",7,0,7,3,strah,,strah,strah,false,true,"{""Emocionalno neutralno"": 2, ""iznenađenje"": 1, ""strah"": 3, ""tuga"": 1}"
19,0,1474883068007747586,"na koju se grejemo beba od mesec dana i mi. 
#nisamprijavila jer nije bilo vidljivo na telu vređanje, finansijska kontrola, ignorisanje (silent treatment) mene danima ako se usudim da kažem nešto što nije po volji. #nisamprijavila jer je u društvu bio nasmejan, veseo, duhovit",7,1,6,3,strah,,strah,strah,false,true,"{""Emocionalno neutralno"": 1, ""gađenje"": 1, ""strah"": 3, ""tuga"": 1}"
19,1,1475102661431209992,"svaka cast svima koji su imale hrabrosti da prezive i da napisu svoje price🙌🏼❤️bravo❤️  
#NisamPrijavila desilo se skoro i ne zelim da pravim dramu,smatram da je mala stvar i da nece mnogo da se preduzme oko toga i tek ce onda da prodje prica oko celog grada",7,0,7,2,Emocionalno neutralno,,Emocionalno neutralno,radost,false,false,"{""Emocionalno neutralno"": 2, ""iščekivanje"": 1, ""poverenje"": 1, ""radost"": 1, ""strah"": 1, ""tuga"": 1}"
19,2,1475153035525509120,Oprosti mi što #nisamprijavila ja onda kad ti nisi imala snage!,7,0,7,5,tuga,tuga,tuga,tuga,true,true,"{""bes"": 2, ""tuga"": 5}"
19,3,1475555273943265280,"I, da, #NisamPrijavila ali to je sad nebitno. Bitno je da sam preživela i ojačala zahvaljujući sličnim sebi, a ima nas previše.",7,0,7,3,poverenje | radost,,,poverenje,false,false,"{""Emocionalno neutralno"": 1, ""poverenje"": 3, ""radost"": 3}"
19,4,1475099694674100235,"posebno to što kod sebe imaju oružje (taj deo ""normalnosti"" korišćenja oružja koji usvoje kroz službu je tek posebna tema). 

Glupo je da kažem da je sjajno ovo #nisamprijavila - ali šta ćemo dalje? 

Ja nisam stručna ali evo neka neka nadležna institucija iz tekstova sa",7,3,4,2,bes,,bes,strah,false,false,"{""Emocionalno neutralno"": 1, ""bes"": 2, ""poverenje"": 1}"
19,5,1475298054093910022,"#NisamPrijavila 
... zato što su možda obrasci isti, ali je svačija priča različita.

Dakle, bez mnogo priče dok ne znate priču.",7,0,7,3,bes,,bes,iščekivanje,false,false,"{""Emocionalno neutralno"": 2, ""bes"": 3, ""poverenje"": 1, ""strah"": 1}"
19,6,1475108790949318666,Ja jos uvek nisam spremna da napisem sta i zasto #NisamPrijavila ali sam procitala svaki tvit i verujem da svet ostavljamo boljim mestom jer sada znamo sta nije u redu,7,0,7,2,poverenje | radost | strah,,,poverenje,false,false,"{""iščekivanje"": 1, ""poverenje"": 2, ""radost"": 2, ""strah"": 2}"
19,7,1475960829581352967,"@[user] @[user] Ali to ne umanjuje ni značaj ni validnost pokreta. On ne može da umanji poverenje u institucije, jer institucije ne postoje. #nisamprijavila je poziv za stvaranje institucija koje će se brinuti o žrtvama.",7,1,6,2,Emocionalno neutralno | poverenje,,,bes,false,false,"{""Emocionalno neutralno"": 2, ""bes"": 1, ""gađenje"": 1, ""poverenje"": 2}"
19,8,1475438864869306375,"""Ich habs nicht gemeldet. Bei uns glauben sie nicht mal den toten Frauen. Den lebendigen schon gar nicht."" Es ist wahr und erschütternd. #NisamPrijavila",7,4,3,1,bes | gađenje | strah,,,tuga,false,false,"{""bes"": 1, ""gađenje"": 1, ""strah"": 1}"
19,9,1475168300015497223,"@[user] Nažalost, svugdje je tako... Imala sam i ja takvih #NisamPrijavila situacija na bacanje, ali blažih. Čak i ono što sam prijavila dočekano je s ""Ma, izmišljaš gluposti"".",7,0,7,3,gađenje,,gađenje,tuga,false,false,"{""Emocionalno neutralno"": 2, ""gađenje"": 3, ""iščekivanje"": 1, ""tuga"": 1}"
19,10,1475369912981929985,"#nisamprijavila jer je bilo psihicko maltretiranje,jer sam ga se plasila,jer mi je trebalo vremena da shvatim sta se desava,jer se desavalo u periodu od god dana nakon smrti moje majke i bila sam jako ranjiva,jako tesko sam podnela njen gubitak,nisam prijavila jer znam da ne mogu",7,0,7,5,strah,strah,strah,strah,true,true,"{""strah"": 5, ""tuga"": 2}"
19,11,1475582227048280064,ali ovi bolesnici koji na #NisamPrijavila reaguju sa svojim jeftinim šalama i propalim humorom zaslužuju pakao i ništa manje od toga,7,0,7,4,bes,bes,bes,bes,true,true,"{""bes"": 4, ""gađenje"": 3}"
19,12,1475767866851008514,#nisamprijavila jer je trebalo da prodje 7 godina da prepoznam da je to sto se desilo bilo silovanje. Posle rada sa psihoterapeutom i terapije MDMA-em sam mnogo manje besna i znam da smo svi uzasno propatili od katastrofalne seksualne edukacije iz porno filmova. 1/2,7,0,7,3,bes,,bes,bes,false,true,"{""Emocionalno neutralno"": 1, ""bes"": 3, ""gađenje"": 1, ""poverenje"": 1, ""tuga"": 1}"
19,13,1475515598536904713,"@[user] je prva napravila rupu u toj brani ćutanja. Sledeći je, hiljade su progovorile ili pružile podršku i kao reka probile branu. Ne treba da dozvolimo, da se brana ponovo podigne, zbog onih koje su progovorile #NisamPrijavila i onih koje nisu. Zbog svih nas 💜",7,0,7,3,poverenje | radost,,,poverenje,false,false,"{""iznenađenje"": 1, ""poverenje"": 3, ""radost"": 3}"
19,14,1475786710743142412,Ogromna podrška za sve žene koje su skupile hrabrosti da posle toliko godina obelodane tamu. ❤️ #nisamprijavila,7,0,7,5,radost,radost,radost,poverenje,false,false,"{""poverenje"": 2, ""radost"": 5}"
19,15,1475048760778629120,"Čitam sve #Nisamprijavila. Ako niste među njima, zahvalite se Bogu, iščitajte i nemojte nikad, ama nikad, da ne budete podrška nekoj ženi.",7,1,6,2,poverenje,,poverenje,bes,false,false,"{""Emocionalno neutralno"": 1, ""bes"": 1, ""iščekivanje"": 1, ""poverenje"": 2, ""radost"": 1}"
19,16,1475927395290992641,"numero je detaljan prikaz kako i zlostavljaci imaju baby face, izgledaju otuzno i nevino dok se unutar 4 zida desava kaos.
Nikad mi se netko nije tako brzo zgadio (bio mi je jedan od najdrazih repera u hazzeovom zlatnom vremenu) sad mi se okrece zeludac na njega #NisamPrijavila",7,0,7,6,gađenje,gađenje,gađenje,gađenje,true,true,"{""bes"": 1, ""gađenje"": 6}"
19,17,1475601987441987590,"Čitam #NisamPrijavila i ono što me najviše brine jeste kultura nasilja koja cveta među devojčicama i dečacima uzrasta 12, 13 i stariji. Ta kultura nasilja dosta je vidljiva na TikToku, a najbolje se ogleda kroz trend muziku. Na primer: “opije, pa dobije šamare, b**a masna” Nucci",7,0,7,4,strah,strah,strah,strah,true,true,"{""Emocionalno neutralno"": 1, ""iznenađenje"": 2, ""strah"": 4}"
19,18,1475069694377926660,#NisamPrijavila jer nisam kome da se obratim. Ćale me savetovao da ako slučajno ostanem trudna da nikako ne smem da abortiram jer posle toga sigurno više neću moći da imam dete.,7,1,6,4,strah,strah,strah,strah,true,true,"{""gađenje"": 1, ""strah"": 4, ""tuga"": 1}"
19,19,1475828252291878915,"#nisamprijavila
Jer mi je bio dugogodišnji prijatelj. Jer sam se bojala što će drugi reći.
Jer nisam htjela da me itko drukčije gleda zbog toga.
Jer sam bila mlada i nisam mislila da bi mi itko vjerovao.
I dalje šutim, i nikome nisam rekla.",7,0,7,6,strah,strah,strah,strah,true,true,"{""strah"": 6, ""tuga"": 1}"
19,20,1475666867222163464,"Prijavila sam, ali poželjela da #NisamPrijavila jer mi je inspektor rekao ""ma to vam se on udvara na jedan poseban način""",7,0,7,4,gađenje,gađenje,gađenje,bes,false,false,"{""Emocionalno neutralno"": 1, ""bes"": 1, ""gađenje"": 4, ""iznenađenje"": 1}"
19,21,1475107918542479363,"Citam #NisamPrijavila i u glavi mi je samo moja baba kako place jer ju je deda maltretirao 50 godina, fizicki a o psihickom da ne pricam. Tolike traume da je dolazila svaki dan uplakana i zalila mi se da ga sanja kako je davi. Spava u drugoj sobi i zakljucava vrata u toku noci.",7,0,7,4,tuga,tuga,tuga,tuga,true,true,"{""Emocionalno neutralno"": 1, ""strah"": 2, ""tuga"": 4}"
19,22,1475534095191089152,"#NisamPrijavila je prilika ne samo da se čuje glas žena koje su žrtve, i da svi stanu uz njih, nego i da se skrene pažnja na taj naš model odgajanja muškaraca koji su emotivni balvani.",7,0,7,3,iščekivanje,,iščekivanje,bes,false,false,"{""Emocionalno neutralno"": 2, ""bes"": 1, ""gađenje"": 1, ""iščekivanje"": 3}"
19,23,1475151815218020357,#božić Zemljanke se resetovale sa #metoo na #nisamprijavila .,7,6,1,1,Emocionalno neutralno,Emocionalno neutralno,Emocionalno neutralno,tuga,false,false,"{""Emocionalno neutralno"": 1}"
19,24,1475522956872888320,"U nastavku #NisamPrijavila serijala, drugovi iz odeljenja koji su nas devojčice ubeđivali da koketiramo sa profesorom ustava i prava građana koji je kasnije i uhapšen zbog pedofilije, kako on ne bi pitao za ocenu.",7,2,5,3,gađenje,gađenje,gađenje,gađenje,true,true,"{""bes"": 2, ""gađenje"": 3}"
19,25,1475079429684707332,"Strah i stid, sa jedne strane, kombinovan s neznanjem procedure prijave i postupanja, sa druge strane. I eto nas kod ovolikog  broja #NisamPrijavila. Prijavljeni slučajevi samo vrh ledenog brega nasilja.",7,0,7,4,strah,strah,strah,strah,true,true,"{""bes"": 1, ""strah"": 4, ""tuga"": 2}"
19,26,1475436359934484485,"Ova priča oko #NisamPrijavila  postaje toliko teška ali potrebna da se pročita i da ljudi, pa i ja među ostalima, shvatimo da je to stvarno i da se dešava u velikom broju.",7,0,7,2,poverenje | tuga,,,tuga,false,false,"{""Emocionalno neutralno"": 1, ""iznenađenje"": 1, ""iščekivanje"": 1, ""poverenje"": 2, ""tuga"": 2}"
19,27,1475153406847332353,"#NisamPrijavila jer nakon sto sam rekla majci, upitala me jesam li sigurna da me mozda nije samo stipkao. Imala sam samo 12 godina. To mi je bio stric.",7,1,6,2,bes | gađenje,,,tuga,false,false,"{""Emocionalno neutralno"": 1, ""bes"": 2, ""gađenje"": 2, ""strah"": 1}"
